"id","address","amount","fromChainId","toChainId","ccType","createTime"
22,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","5000000000000000000","5","97","2","1698051009"
23,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","12000000000000000000","5","97","2","1698051071"
24,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","16000000000000000000","5","97","2","1698051192"
25,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","3000000000000000000","97","5","1","1698121676"
27,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","3000000000000000000","97","5","1","1698123179"
28,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","10000000000000000000","97","5","1","1698123404"
29,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","2000000000000000000","97","5","1","1698123566"
30,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","2000000000000000000","97","5","1","1698123985"
31,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","235000000000000000000","97","5","1","1698124290"
32,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","1000000000000000000","5","97","2","1698124532"
33,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","50000000000000000000","5","97","2","1698124636"
34,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","6000000000000000000","5","97","2","1698124756"
35,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","100000000000000000000","97","97","2","1698127862"
36,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","100000000000000000000","97","5","2","1698128154"
37,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","1000000000000000000","5","97","1","1698128274"
38,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","43000000000000000000","5","97","2","1698129303"
39,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","12000000000000000000","97","5","1","1698207479"
40,"0x6278a1e803a76796a3a1f7f6344fe874ebfe94b2","9000000000000000000","5","97","1","1698207557"
